Plarity,Text
P,بہتر یہی ہے کہ صوبائی حکومت معاملے کی اہمیت کو سمجھے اور اپنے اصل کام کی طرف زیادہ توجہ دے۔
P,مون سون کا موسم ابھی باقی ہے چنانچہ سندھ کے تمام شہروں میں انتظا میہ کو ریڈ الرٹ رکھا جائے۔
P,اپنے بلدیاتی ایڈمنسٹریٹرز کو شہروں کے انفرااسٹرکچرز کی بہتری کے لئے کام کرنے کا خصوصی احکامات اور فنڈزجاری کئے جائیں اور اس کی خصوصی نگرانی کی جائے۔
P,شہریوں کی جان و مال کی سلامتی اور انہیں بنیادی سہولتوں کی فراہمی ہی حکومتوں کا اصل کام ہو تا ہے۔
P,مصیبت کا یہ وقت دلوں کو جیتنے کا ہوتا ہے نہ کہ بیانات کی آگ بھڑکانے کا۔
P,بیٹیوں کی شخصیت سازی میں باپ کا کردار۔
P,بیٹیوں کی شخصیت سازی میں ماوٴں کے مقابلے میں باپ کا زیادہ اثر دکھائی دیتا ہے۔
P,باپ کا رویہ بیٹی کے طرز عمل پر حاوی رہتا ہے ۔
P,ایسے مرد جو گھریلو کام کاج میں زیادہ وقت دیتے ہیں ان کی بیٹیاں گھر سے باہر کام کرتے وقت زیادہ پراعتماد طریقے سے اپنے فرائض کو پورا کرتی ہیں۔
P,انہیں کسی قسم کے صنفی مسائل کا سامنا بھی نہیں کرنا پڑتا۔
P, وہ اپنے دفاتر میں پر عزم دکھائی دیتی ہیں، ان کاوژن انتہائی زیادہ بلند ہوتا ہے اور ان کی صنفی معاملات میں زیادہ دلچسپی نہیں ہوتی۔
N, تاہم ایسے باپ جوروایتی خیالات کے حامل ہیں، گھر کے امور میں زیادہ دلچسپی کا مظاہرہ نہیں کرتے۔
N,بیٹے یا بیٹی سے برتاوٴ میں بھی یکساں سلوک نہیں کرتے اور سمجھتے ہیں کہ بیٹی کو گھر کے اندر ہی گڑیوں اور باربی ڈول سے کھیلنا چاہیے۔
N, اسے گلابی ملبوس تک ہی محدود رہنا چاہیے تو ان کی بیٹیوں کوباہر کی دنیا میں کافی مسائل کا سامنا کرنا پڑتا ہے ، صنفی مسائل کا بھی شکار ہوتی ہیں۔
N,وہ زیادہ تر بیرونی دنیا سے کٹی رہتی ہیں۔
N,انہیں مردوں کے درمیان کام کرتے ہوئے بھی کئی مشکلات کا سامنا کرنا پڑتا ہے۔
P,حالیہ تحقیق سے ظاہر ہوتا ہے کہ بچے کے رویے پر باپ کی ذہنی حالت اثر انداز ہوتی ہے۔
P,دوستانہ برتاوٴ اور گھریلو امور میں عمل دخل کرنے والے والد بیٹی کی شخصیت پر زیادہ اثر انداز ہوتے ہیں۔
P,اس سے قبل تحقیق میں بھی کہا گیا تھا کہ بچوں کی شخصیت سازی پر باپ کا زیادہ اثر ہوتا ہے۔
P,اکثر عورتیں گھریلو کام کاج میں او رمرد باہر کے کاموں میں مصروف رہتے ہیں۔
P,بچے کی اوائل عمری میں ماں کی شخصیت کا ان پر زیادہ اثر ہوتا ہے جبکہ بیٹیوں کی بلوغت کی زندگی میں باپ کا زیادہ اثر دیکھا گیا ہے۔
P,بیٹیوں کی نسبت بیٹے باپ کی شخصیت کو اپنے اوپر حاوی نہیں ہونے دیتے۔
P,سائنسدان کہتے ہیں کہ بیٹیاں باپ کی شخصیت سے بہت اثر لیتی ہیں کیونکہ وہ گھر میں اسے سب سے اعلیٰ اتھارٹی اور اپنی زندگی کارول ماڈل سمجھتی ہیں۔
P,اپنی شخصیت میں بہتری کے اہم نکات بیٹیاں اپنے باپ سے ہی سیکھتی اور سمجھتی ہیں کہ ایک لڑکی کو کسی طرح کا طرز عمل اختیار کرنا چاہیے۔
P,وہ اپنے باپ کی زندگی کی مثال سامنے رکھتی ہیں جن سے خواتین متاثر ہوتیں ہیں۔
N,تحقیق میں یہ بھی بتایا گیا کہ جو خواتین نوکری کرتی ہیں ان پر گھر کا بوجھ مردوں کی نسبت پھر بھی زیادہ ہوتا ہے۔
P,بچے کے ساتھ کھیلنے یا سکھانے کے عمل میں باپ ہمیشہ دھیما اور مثبت رویہ رکھتے ہیں جب کہ ماؤں کا رویہ معاون اور حکم دینے والا ہوتاہے۔
P,بیٹیوں کے رویے کی پختگی میں باپ کا کردار ماں کے مقابلے میں بہت اہم ہے۔
P,باپ کارویہ اس بات کی عکاسی کرتا ہے کہ ان کی بیٹی کس طرح کے کھیلوں میں دلچسپی لیتی ہے۔
Neu,جو بیٹیاں باپ سے متاثرہ ہوتی ہیں وہ ٹرانسفارمر کے کھلونے کو باربی ڈول سمجھ کر کھیلتی ہیں۔
Neu,ہفتے میں دو چھٹیوں کا فائدہ یا نقصان؟
Neu, چاہے گھڑیاں آگے کرو یا پیچھے کرو، بجلی کی لوڈ شیڈنگ کرو یا گیس کا ناغہ کرو۔ 
N,جب تک مسئلے کا مستقل حل تلاش نہیں کریں گے ایسی نو ٹنکیاں دیکھنے کو ملتی رہیں گی ۔
Neu,جس میں تازہ اضافہ حکومت کی طرف سے ایک بار پھر ہفتے میں دو چھٹیاں کرنے کا اعلان ہے۔
P,جس کا مقصد توانائی کی بچت بتایا جا رہا ہے۔
P,توانائی کی بچت اچھی بات ہے ضرور کرنی چاہئے بلکہ سب کو کرنی چاہئے۔
N,یہ وقت کا تقاضہ اور ضرورت ہے لیکن کام کرنے کے لئے اگر حکومت اٹکل پچو طریقے استعمال کرے ۔
N,کسی سے کسی سطح پر مشاورت نہ کرے ۔
N,صوبائی حکومتوں سے مشاورت تک نہ ہو۔
N,دکانداروں اور تاجروں کو اعتماد میں نہ لے ان کی ضروریات اور کاروباری تقاضوں سے صرف نظر کرے۔
N,تو ایسا حکومتی قدم عوام کی زبان میں صرف” ٹائم پاس“ ہی کہلائے گا۔
N, حکومت سرکاری اداروں ، شاپنگ سینٹروں اور شادی گھروں سے بجلی چھین کر  یعنی بجلی کی بچت کراکے عوام کو بجلی دینا چاہتی ہے ۔ 
Neu,خبر یہ آئی ہے کہ وفاقی کابینہ نے اس اقدام کی منظوری دے دی ہے۔
N,وفاقی کابینہ کا موقف معذرت کے ساتھ شاید کچھ غور و فکر کے بعد اس طرح کا ہوگا۔
N,اس ملک میں جہاں بجلی کی کمی اہم مسئلہ ہے وہیں آبادی میں ہوش ربا اضافہ بھی کچھ کم مسئلہ نہیں۔
Neu,شاپنگ سینٹرز اور شادی ہال آبادی میں اضافے میں بالواسطہ کردار ادا کرتے ہیں۔
P,ان کی سرگرمیوں پر حکومت کو تشویش ہونا لازمی ہے اب اگر حکومت نے ایکشن لیا ہے تو اس کی حمایت کرنی چاہئے۔
P,ویسے بھی جن سرکاری اداروں کو دو چھٹیاں دی گئی ہیں وہ باقی کے پانچ دن بھی کام نہیں کرتے لہٰذا معیشت پر کوئی منفی اثر نہیں ہو گا۔
P,سر شام شاپنگ سینٹرز بند ہونے سے وہاں پولیس کی نفری کی ضرورت نہیں ہو گی۔
Neu,اس نفری کو وزرا کی مزید حفاظت پر مامور کیا جا سکتا ہے۔
P,دو چھٹیوں سے سرکاری اداروں میں کرپشن میں بھی کمی آ ئے گی جس کا خیر مقدم کیا جانا اہئے۔
P,یہ گڈ گورنیس کی طرف اہم قدم ہے جسے سراہنا جانا چاہئے۔
P,دو چھٹیوں کی وجہ سے بچے تعلیم پر زیادہ اور ٹی وی پر کم توجہ دیں گے جس سے تعلیمی معیار بہتر ہوگا ۔
P,دو چھٹیوں کی وجہ سے سڑکوں پر پارکنگ کم ہو گی جس سے ٹریفک کی روانی پر مثبت اثر ہوگا ۔
P,لوگوں کا وقت اور ایندھن بچے گا اس کا معیشت پر خوشگوار اثر ہو گا۔
Neu,دس بجے شادی ہال بند ہونیسے لوگ گھر جا کر جلدی بستروں میں سونے چلے جائینگے تو یقینا انگریزی محاورے کے عین مطابق صبح جلدی اٹھینگے۔
P, اس سے وہ خود بخود صحتمند، دولتمند اور عقلمند ہو جائیں گے ، قوم کو اور کیا چاہئے “۔
Neu,یہ تو شاید وفاقی کابینہ کا انداز فکر ہو گا لیکن زمینی حقائق تو کچھ اور ہی کہانی سناتے ہیں۔
N,بازار اورشاپنگ سینٹرز چھ بجے بند کرنے کا فیصلہ کرتے وقت ان نوجوانوں کی یاد کیوں نہیں آئی جو اپنے تعلیمی اخراجات پورے کرنے کیلئے دکانوں میں شام کو جز وقتی ملازمتیں کرتے ہیں۔
N,کم آمدنی والے نجی اداروں کے ملازمین جو اپنے گھر والوں کی کفالت کے لئے شام کے وقت مصروف شاپنگ سینٹرز اور بازاروں میں چھوٹی دکانیں یا ٹھیلے لگاتے ہیں۔
P,عوامی حکومت نے ان کے مفادات کے لئے کیا انتظام کیا؟
N,کیا یہ ہزاروں لاکھوں افراد چھ بجے شام گھر بیٹھ کر اپنا پیٹ پیٹیں یا اپنا سر پیٹیں؟
Neu,کیا حکومت نے ایسے اعداد و شمار حاصل کئے کہ کس وقت شاپنگ سینٹرز میں گاہگ زیادہ آتے ہیں اور کس وقت بزنس زیادہ ہوتا ہے؟
Neu,کیا حکومت کے پاس ایسے اعداد و شمار ہیں کہ کس سیکٹرز کے لوگ کس اوقات میں کتنی بجلی استعمال کرتے ہیں؟
N, یقینا نہیں  تو ایسے اندھے اقدامات سے ملک کی، عوام کی اور معیشت کی کیا خدمت ہو گی؟قینا نہیں  تو ایسے اندھے اقدامات سے ملک کی، عوام کی اور معیشت کی کیا خدمت ہو گی؟
N, یایسے اقدامات سے کیا معیشت کا پہلے سے ہوا ستیاناس ، سوا ستیاناس نہیں ہوگا؟ 
Neu,ایسا کرکے معیشت ترقی کرے گی ؟
N,تاجروں اور تو اور دو صوبوں نے بھی اس فیصلے سے اختلاف کیا ہے اور عمل درآمد سے معذرت کی ہے۔
Neu,نظر تو یہی آتا ہے کہ کچھ عرصے بعد ہفتے میں دو دن چھٹی کی ضرورت نہیں رہے گی کیونکہ اس کے بعد ہفتے میں سات دن کاروبار کی چھٹی ہی چھٹی رہے گی۔
N,انٹرنیٹ ٹیررازم…ایک نیا چیلنج۔
P,انٹرنیٹ ہماری روزمرہ کی زندگی کا ایک اہم حصہ بنتا جارہا ہے۔
P,یہ معاشروں اور افراد کی زندگیوں کو آسان بنانے کا بھی ذریعہ ہے۔
P, وہ اسے ڈیٹا محفوظ کرنے، پیغامات بھیجنے اور وصول کرنے، ڈیزائننگ، ایڈیٹنگ اور زندگی کے تقریباً تمام پہلوؤں میں استعمال کرتے ہیں۔
N,انٹرنیٹ کے اس زبردست کردار نے مجرموں اور دہشت گردوں کی حوصلہ افزائی کی کہ وہ اسے دہشت گردی کے آلے کے طور پر اپنے اہداف کو نشانہ بنانے کیلئے استعمال کریں۔
N,انٹرنیٹ کئی طریقوں سے دہشت گردی کی سرگرمیوں کے لئے ایک آئیڈیل میدان بنتا جارہا ہے۔
N,انٹرنیٹ مختلف دہشت گرد تنظیموں کے مابین بہترین رابطہ ہے۔
N,جسے وہ نفرت اور تشددکے پیغامات کو پھیلانے اور اپنے ہمدردوں کے ساتھ بات چیت کیلئے استعمال کرتے ہیں۔
N,اور کسی کی نظر میں آئے بغیر اپنی سرگرمیاں جاری رکھتے ہیں۔
N,دہشت گرد تنظیمیں انٹرنیٹ کو فنڈ ریزنگ کے لئے استعمال کرتی ہیں۔
P,اس مقصد کے لئے خصوصی طور پر بنائے گئے چیٹ رومز میں عطیات کی اپیل بھی کی جاتی ہے۔
N,دہشت گرد اسے اپنے حامیوں کو بھرتی اور متحرک کرنے کے لئے استعمال کرتے ہیں۔
N,ا س سائبر ورلڈ میں درجنوں ایسی ویب سائٹس موجودہیں جہاں مفت اور باآسانی کیمیائی اور دھماکا خیز مواد سے ہتھیار بنانے کے بارے میں معلومات موجود ہیں۔
N,دہشت گردوں کی ویب سائٹس پر دہشت گردی کے نظریات کے فروغ کیلئے بے شمار مواد، کتابوں، ویڈیو، آڈیو کی صورت میں موجودگی،مخصوص اہداف کو نشانہ بنانے کیلئے نقشوں اور دوسری ٹیکنالوجی کا باآسانی استعمال دہشت گردی کو فروغ دینے کا سبب بن رہا ہے ۔
N,ا نٹرنیٹ نے جرائم پیشہ افراد کو چوری کے نئے طریقے سکھائے۔
N,آن لائن مجرم عام شہریوں کی شناخت چوری کرکے ان کے اکاؤنٹس کو خالی کردیتے ہیں۔
N,مختلف فرموں سے رقم ہتھیا لیتے ہیں اور مختلف اداروں سے جعل سازی کرتے ہیں۔
N,ان کی وجہ سے ہر سال عالمی معیشت کو ایک بہت بڑا نقصان اٹھانا پڑتا ہے۔
N,اسی طرح مختلف ہیکرز مختلف ممالک کے ڈیفنس سے متعلق سسٹم نیٹ ورک تک جانے کی کوشش کرتے ہیں۔
N,الیکٹرانک طریقہ دہشت گردی جدید معاشروں کیلئے سب سے بڑا خطرہ بنتا جارہا ہے۔
Neu,انٹرنیٹ نے ہی دنیا بھر کے لوگوں کو گلوبل پلیٹ فارم مہیا کیا اس کے صحیح استعمال کے ساتھ اس کاغلط استعمال بھی بڑھتا گیا ۔
P,جرم کی اس بین الاقوامی قسم سے نمٹنے کیلئے ذاتی ‘ علاقائی‘ ملکی سطح کے ساتھ ساتھ بین الاقوامی سطح پر بھی بہت کچھ کیا جانا چاہئے۔
P,انٹرنیٹ دہشت گردی سے متعلق متفقہ بین الاقوامی اقدام کی ضرورت ہے چونکہ یہ خطرہ عالمی نوعیت کا ہے اس لئے ایک اجتماعی ردعمل کی بھی ضرورت ہے۔
Neu,ہائر ایجوکیشن کمیشن کی صوبوں کو منتقلی؟
Neu,حکومت نے ہائر ایجوکیشن کمیشن کی صوبوں کو منتقل کرنے کی تیاریاں مکمل کر لی ہیں۔
Neu,ایچ ای سی کے ذرائع کا کہنا ہے کہ اسے منتقل نہیں کیا جا رہا بلکہ تقسیم کیا جا رہا اور اس کے اہم امور مختلف وفاقی وزارتوں کو سونپ دیئے جائیں گے۔
N,ادھر حکومت کے اس فیصلے کے بعد امریکا نے ایچ ای سی کو دی جانے والی 25 کروڑ ڈالر کی امداد روک لی ہے۔
N,ڈاکٹر جاوید لغاری کے مطابق اس غیریقینی صورتحال کی وجہ سے عالمی بنک نے بھی 350 ملین ڈالرز روکنے کا عندیہ دیا ہے۔
N,عام تاثر یہ ہے کہ حکومت بڑی تعداد میں قومی و صوبائی اسمبلیوں کے منتخب ارکان کی جعلی ڈگریوں کے خلاف تحقیقات کوبرداشت نہیں کر پائی جس میں ایچ ای سی نے اہم کردار ادا کیا۔
N,محض سیاسی اور جماعتی مفاد کی خاطر ایک اہم تعلیمی ادارے اور قومی مفاد کو پس پشت ڈال دینا درست اقدام ہے؟
N,کیا اس اقدام سے تعلیم کے فروغ کیلئے کوششوں کی حوصلہ شکنی اور جعلی ڈگریوں کے ذریعے ملک و قوم کو بدنام کرنے والوں کی حوصلہ افزائی نہیں ہو گی؟
N,معروف ماہر تعلیم پروفیسر ڈاکٹر عطاء الرحمن نے ہائیر ایجوکیشن کمیشن کو تحلیل کرنے کے حکومتی فیصلے کو زلزلے سے تشبیہ دیتے ہوئے کہا کہ اس فیصلے سے اعلیٰ تعلیم کو تباہ کر کے اس کا وہی حال کیا جارہا ہے جو اس وقت اسکول اور کالجز کا ہے۔
N, حکومت کے اس اقدام سے یہ تاثر کھل کر سامنے آ گیا ہے کہ وہ ملک سے جہالت، ناخواندگی کے خاتمے اور اعلیٰ تعلیم کے حصول کے لئے مستحق اور ذہین طلباء اور بیرون ملک اعلیٰ تعلیم کے حصول کیلئے اساتذہ کو دی جانے والی مراعات اور مالی امداد کو برداشت کرنے کے لئے تیار نہیں ۔
P,ورنہ ایک ایسا ادارہ جس نے ملک میں اعلیٰ تعلیم کو فروغ دینے اور ملک میں متعدد یونیورسٹیوں کے قیام میں اہم کردار ادا کیا اور اساتذہ کیلئے مالی مراعات میں اضافہ کر کے انہیں سکون و اطمینان کے ساتھ پیشہ ورانہ ذمہ داریاں ادا کرنے کا موقع دیا اسے ختم کرنے کا کیا جواز ہے؟
N,ہائرایجوکیشن کمیشن ملازمین حکومتی اقدام کے خلاف سراپا احتجاج ہیں اور اسے غیر آئینی اور غیرقانونی قرار دیا ہے۔
Neu,کیا مصری عوام جیت گئے؟
P,قاہرہ میں عوامی انقلاب کامیاب ہوگیا ہے۔
N,کل رات تک صدر نے جو اعلان کردیا تھا کہ وہ جانے والا نہیں ہے اس نے چوبیس گھنٹے کے دوران ہی اعلان کردیا کہ وہ اقتدار چھوڑ رہا ہے۔
P,18دن میں انقلاب کامیاب ہوگیا۔
N,امریکا اور مغرب کا سب سے بڑا کھونٹا اکھڑ گیا۔
Neu, انقلاب مصر کی پشت پر اسلام پسند بھی ہیں، اخوان المسلمون بھی ہیں۔
N,وہ تنظیمیں جس پر مصر میں پابندی تھی اور جس کا نام لینا بھی مصر میں جرم تھا۔
P,مصر کے عوام نے اپنی تقدیر خود بدلنے کا فیصلہ کیا اور مصر کے نوجوانوں نے آگے بڑھ کر اپنے فیصلے خود کئے۔
P, انہوں نے انٹرنیٹ، فیس بک، ٹوئٹر کا استعمال کیا اور فیصلہ کیا کہ وہ اپنے گھروں کو واپس نہیں جائیں گے جب تک مصر کی تقدیر کو نہیں بدل دیا جائے گا۔
P,جرمنی نے مصر کے صدر کو پناہ دینے کی پیشکش کردی ہے۔
P,عرب لیگ کے رکن دو ممالک تیوس اور مصر میں انقلاب آچکا ہے۔
P,مصر اب اس راہ پر چل رہا ہے جس کا مطلب ہے مکمل تبدیلی یعنی عوام کی خواہشات کے مطابق مصر کو چلایا جائے گا۔
N,مغرب کے ایسے غلام کی حیثیت سے نہیں جس میں کہا جاتا تھا کہ مصر امریکا سے زیادہ امریکا کا وفادارہے۔
N,مصری عوام کو خود معلوم نہیں کہ مستقبل کا اسٹرکچر کیا ہوگا۔
P,مصر میں آنے والا ایسا انقلاب میں نے تاریخ میں کبھی نہیں دیکھا کہ اس طرح جمع ہو کر لاکھوں عوام نے ایک ڈکٹیٹر کو نکالا۔
P,ہر انقلاب کا کوئی نہ کوئی لیڈر ہوتا ہے لیکن یہ واحد انقلاب ہے جو بغیر کسی لیڈر کے کامیاب ہوا ہے۔
Neu,خواتین کی ڈرائیونگ۔
P,اگر آپ کسی تنگ پارکنگ میں کھڑے ہوں اور اچانک کوئی گاڑی نمودار ہو کر چھوٹی سی جگہ میں بھی کسی گاڑی کو نقصان پہنچائے بغیر بہترین طریقے سے پارک ہوجائے تو فوراً یقین کرلیجئے گا کہ اِسے کوئی مرد چلا رہا ہے۔
Neu,لیکن اگر گاڑی دو تین دفعہ آگے پیچھے ہوکر پارکنگ میں جگہ بنائے تو پھر بھی یقیناًاسے کوئی مرد ہی چلا رہا ہوگا۔
Neu,تاہم اگرآنے والی گاڑی آپ کی گاڑی کے پیچھے پارک ہوجائے توالحمدللہ پھر بھی اسے کوئی مرد ہی چلا رہا ہوگا۔
N,خاتون کا شائبہ تو اُس وقت ہونا چاہیے جب پارکنگ کی ڈھیر ساری جگہ ہو لیکن آنے والی گاڑی سیدھی آپ کی گاڑی میں جاگھسے۔
N,خواتین کی یہ خواہش ہوتی ہے کہ جب وہ گاڑی چلا رہی ہوں تو ساری ٹریفک وفات پا جائے۔
N,یہ ون وے کی خلاف ورزی کرتے ہوئے غلط رخ پر بھی گاڑی چلا رہی ہوں تو سامنے سے آنے والوں کو کوسنے دیے جاتی ہیں کہ کم بخت سب کے سب غلط آرہے ہیں۔
Neu,مردکو جب تک گاڑی ریورس نہ کرنی آجائے وہ سمجھتا ہے کہ اسے ابھی گاڑی نہیں چلانی آتی ۔
P,خواتین صرف دروازہ کھولنا ہی سیکھ جائیں تو انہیں کامل یقین ہوجاتاہے کہ اب وہ ڈرائیونگ سیکھ گئی ہیں۔
Neu,جن خواتین کو ڈرائیونگ نہیں آتی وہ بھی چلتی گاڑی میں حتی المقدوراپنا احساس دلاتی رہتی ہیں۔
Neu,بعض اوقات تو شوہر گاڑی ریورس کر رہا ہو تو ساتھ بیٹھی بیگم اچانک بیک مرر کا رخ اپنی طرف کر کے لپ اسٹک ٹھیک کرنے لگ جاتی ہے ۔
N,چیخ تب مارتی ہے جب آدھی گاڑی گندے نالے میں جاگرتی ہے۔
P,کئی خواتین تو گھر سے گاڑی لے کے نکلیں تو گھر والے باقی شہر کی سلامتی کی دعا کرنے لگتے ہیں۔
N,شادی شدہ خواتین کی ڈرائیونگ سب سے خطرناک ہوتی ہے۔
Neu,یہ ٹریفک کے اشارے پر رک بھی جائیں توہینڈ بریک لگانے کی بجائے بیک گیئر لگا کے اطمینان سے ببل گم چباتی رہتی ہیں۔
N,نتیجتاً اشارہ کھلتے ہی فل ریس دیتی ہیں اور پیچھے کھڑا بیچارہ سکوٹر والا رگڑا جاتاہے۔
N,سارا قصور اِن کا اپنا ہوتاہے لیکن اپنے پروں پہ پانی نہیں پڑنے دیتیں۔
N,الٹا غریب سکوٹر والے پر چڑھ دوڑتی ہیں’’بدتمیز‘ کمینے‘ شرم نہیں آتی خاتون کی گاڑی کے پیچھے سکوٹرلگاتے ہوئے‘‘۔
P,ہماری ایک کولیگ بھی ایسے ہی گاڑی ڈرائیور کرتی تھیں اور ان کے گھر والے بڑے فخر سے بتایا کرتے تھے کہ ہماری بیٹی کئی دفعہ گاڑی صحیح سلامت بھی واپس لاچکی ہے۔
Neu,اس کے گھر والوں نے اس کے لیے خصوصی طور پر ایک ڈرائیور رکھا ہوا ہے جسے گاڑی تو نہیں چلانی آتی تاہم وہ بی بی جی کے ساتھ ضرور بیٹھتاہے تاکہ ہر وقوعے کا آنکھوں دیکھا حال بیان کرسکے۔
N,میں کئی ایسی خواتین کو جانتا ہوں جو ڈیڑھ سو میٹر کا سفر ہینڈ بریک کھینچے ہی طے کرجاتی ہیں اور واپسی پر اپنے مکینک کو فون کر کے پوچھ رہی ہوتی ہیں کہ ’’ابھی تو کل ٹیوننگ کروائی تھی پھر گاڑی اتنی بھاری کیوں ہوگئی ہے؟‘‘۔
Neu,ایسی خواتین کو ہینڈ بریک نیچے کرنا اُس وقت یاد آتاہے جب ہینڈ بریک کھینچنے کی ضرورت پڑتی ہے۔
P,مرد اگر گاڑی کا انجن آئل چینج کرائے تو تاریخ لکھ کر پاس رکھ لیتا ہے اور ہر وقت میٹر پر نظریں جمائے رکھتا ہے کہ دو ہزار کلومیٹر سے زیادہ نہ ہونے پائے ۔
Neu,اس کے برعکس گاڑی اگر خاتون کے زیر استعمال ہو تو انجن آئل ختم ہونے کا پتا اُس وقت چلتا ہے جب خاتون بڑے جوش و خروش سے اپنے شوہر کو بتاتی ہے کہ ’’نعیم! وہ جو گاڑی کے میٹر پر ایک لائٹ کبھی نہیں جلتی تھی ناں اب وہ بھی دو تین ماہ سے بالکل ٹھیک جل رہی ہے۔‘‘
N,آپ نے بہت کم کسی خاتون کو اپنی گاڑی کاانجن آئل چینج کراتے دیکھا ہوگا‘ وجہ صرف یہ ہے کہ ایسا جب جب ہوا‘ گاڑی کرین کی مدد سے نکالنی پڑی۔
N,خواتین کی گاڑی پنکچر ہوجائے تو یہ بھی قابل دید منظر ہوتاہے‘ یہ سانحہ اگر سڑک کے عین بیچ میں پیش آجائے تویہ اطمینان سے گاڑی وہیں کھڑی کرکے گھر فون کر دیتی ہیں کہ ’’شہباز گاڑی پنکچر ہوگئی ہے ذرا فارغ ہوکے آجاؤ‘‘۔
N,اس دوران خواہ بدترین ٹریفک جام ہوجائے یہ اطمینان سے گاڑی کے اندر بیٹھی مختلف بٹنوں کو چھیڑتی رہتی ہیں کہ شائد کوئی بٹن دبانے سے خودبخودپنکچر لگ جائے۔
N,یہ منظر بھی اکثر دیکھنے میں آتا ہے کہ خواتین ٹائر پنکچر ہونے پر ڈگی کی بجائے بونٹ کھول کر بیٹھی ہوتی ہیں۔
Neu,گاڑی کا ٹائر بدلنا بھی خواتین پر ختم ہے۔
Neu,اول تو یہ خود ٹائر بدلنے کی بجائے راہ چلتے کسی بندے سے فرمائش کرتی ہیں لیکن اگر اپنے زوربازو پر ’’جیک اور پانا‘‘ نکال بھی لیں تو پہلے ٹائر کے نٹ ڈھیلے کرنے کی بجائے جیک لگا کر گاڑی کو اوپر اٹھاتی ہیں ۔
Neu,پھر ٹائر کھولنے کی کوشش کرتی ہیں۔
N,نتیجتاً اکثر ٹائر کھولنے کے دوران خود بھی گھوم جاتی ہیں۔
N,لڑکیاں عموماً آٹو گیئرگاڑی چلانا پسند کرتی ہیں اور پوری کوشش کرتی ہیں کہ سائڈ اور بیک مرر میں دیکھنے سے حتی الامکان پرہیز کریں۔
